Date,Open,High,Low,LTP
29-Jul-15,1310,1332,1305,1320.4
30-Jul-15,1327,1352,1323.35,1333
31-Jul-15,1334.7,1350,1329.9,1337
03-Aug-15,1331.2,1350.5,1315.65,1325
04-Aug-15,1324.4,1331.1,1299.7,1304.55
05-Aug-15,1307.4,1319.95,1300,1301.9
06-Aug-15,1304.25,1313.4,1289,1307
07-Aug-15,1306.3,1315,1295.6,1298.95
10-Aug-15,1305.95,1333.4,1298.1,1298.1
11-Aug-15,1306.75,1306.95,1284,1287.1
12-Aug-15,1284.5,1284.5,1257.75,1263.75
13-Aug-15,1261.95,1273,1250.1,1261.35
14-Aug-15,1268.25,1306.9,1258.75,1299.35
17-Aug-15,1300,1306.2,1271.8,1279.5
18-Aug-15,1280.5,1285.75,1263.4,1265.5
19-Aug-15,1259,1264.85,1248.7,1256.95
20-Aug-15,1258,1266.9,1246,1253.8
21-Aug-15,1238,1239,1214,1224
24-Aug-15,1194.3,1195,1155.85,1159.8
25-Aug-15,1177.3,1187.05,1136.1,1150
26-Aug-15,1145,1158.15,1093.2,1108.95
27-Aug-15,1120,1204.2,1120,1197.8
28-Aug-15,1201.45,1215.7,1179.1,1201
31-Aug-15,1204,1213.8,1176.55,1185.05
01-Sep-15,1175,1176.35,1146,1158.7
02-Sep-15,1175,1179,1110.1,1129.9
03-Sep-15,1139,1176.35,1125.85,1172
04-Sep-15,1161,1163.95,1131.55,1143.3
07-Sep-15,1145,1176.6,1137.05,1152.95
08-Sep-15,1158,1180,1151.15,1174
09-Sep-15,1183.5,1203.4,1178.5,1180
10-Sep-15,1167.55,1174.9,1149.5,1174.9
11-Sep-15,1175,1186,1170.25,1176.65
14-Sep-15,1177.35,1188.5,1163.7,1181
15-Sep-15,1176.65,1184.45,1165.45,1178.6
16-Sep-15,1189.9,1200,1184,1191.65
18-Sep-15,1217,1235.75,1195.1,1197
21-Sep-15,1187.8,1209.7,1185.5,1208.95
22-Sep-15,1217,1217,1163.1,1166.05
23-Sep-15,1155,1173.4,1144.25,1167.95
24-Sep-15,1165,1184.4,1151,1181
28-Sep-15,1180,1189,1163.45,1173.5
29-Sep-15,1164.4,1230.95,1152.5,1208.3
30-Sep-15,1244,1244,1200.75,1212
01-Oct-15,1232.8,1232.8,1192.1,1196
05-Oct-15,1210,1262.7,1205.25,1256.5
06-Oct-15,1268,1271,1238.35,1261
06-Oct-15,160.65,160.65,155,160.65
07-Oct-15,1258,1280,1258,1275
07-Oct-15,176.7,176.7,165,168
08-Oct-15,1278.5,1279.8,1258.45,1277
08-Oct-15,169,184.5,168,173
09-Oct-15,1286,1299,1275.4,1283.35
09-Oct-15,177,179.9,176,178.9
12-Oct-15,1292,1295.35,1261.95,1272
12-Oct-15,177,177,177,177
13-Oct-15,1270,1282.5,1263.2,1278.8
13-Oct-15,177,179.9,175,179.9
14-Oct-15,1273.65,1297,1273.65,1293.95
14-Oct-15,178,179.9,177.5,179.9
15-Oct-15,1295.3,1305,1288.15,1290.6
15-Oct-15,179.9,184.9,179.8,182
16-Oct-15,1295,1315.8,1283.6,1314.5
16-Oct-15,178.25,184,178.25,184
19-Oct-15,1320,1322,1302.45,1313.2
19-Oct-15,183.85,184,182.25,182.45
20-Oct-15,1311.1,1316.4,1302.65,1310.6
20-Oct-15,184,187,182.3,182.3
21-Oct-15,1307.1,1320,1305.65,1320
21-Oct-15,184,184,180.35,180.35
23-Oct-15,1325,1344,1320.05,1342.9
23-Oct-15,185,188,183,185
26-Oct-15,1347.5,1350,1303.4,1306.75
26-Oct-15,188,188,180.1,180.1
27-Oct-15,1304.9,1304.9,1271.8,1277.15
27-Oct-15,174,178.9,170,178.9
28-Oct-15,1275,1284.55,1255.45,1269.55
28-Oct-15,179.9,179.9,171,174
29-Oct-15,1266,1285.65,1258.55,1264.6
29-Oct-15,175,179.8,174,174
30-Oct-15,1266.1,1273.55,1246.45,1255.4
30-Oct-15,174.2,174.2,173.75,173.75
02-Nov-15,1252,1267,1213,1226.4
02-Nov-15,173,173.4,165,169
03-Nov-15,1230,1233.35,1215,1216.6
04-Nov-15,1228.75,1236,1215,1216
04-Nov-15,169,170,168.1,168.1
