Date,Open,High,Low,LTP
19-Oct-15,264.1,264.35,256,258
20-Oct-15,255.6,257.25,252,252.25
21-Oct-15,252,257.9,251.5,253.1
23-Oct-15,255,261,254.95,257.1
26-Oct-15,257,260.8,254.4,256
27-Oct-15,253.45,254.2,247.25,247.5
28-Oct-15,245.6,252.5,243.35,251.4
29-Oct-15,255,255.25,250.05,251
30-Oct-15,249.9,250.5,244.1,247
02-Nov-15,246.95,248.8,242.15,248.45
03-Nov-15,247.2,251.5,245.3,251.45
04-Nov-15,253.55,254.2,249.8,252
05-Nov-15,250,253.8,249.65,251.15
06-Nov-15,248.7,256.6,248,252
09-Nov-15,246.2,251,245.05,248.9
10-Nov-15,245.1,247.8,235.6,237
11-Nov-15,238.9,239.4,236.5,236.75
13-Nov-15,233.05,233.5,228,229.7
16-Nov-15,228.4,230.9,221.25,230.35
17-Nov-15,231,233.25,226.7,232.8
18-Nov-15,231.05,232.75,228.95,230.3
19-Nov-15,232.75,233.7,229.25,232.5
20-Nov-15,233.8,235.75,231.35,233.5
23-Nov-15,235,235.9,231,231.5
24-Nov-15,232,238.35,229.75,232.85
26-Nov-15,233.1,236.9,231.8,235.25
27-Nov-15,236.5,238.75,234.35,235.45
30-Nov-15,234,235.9,230.2,234.25
01-Dec-15,234.55,238.45,233.05,235.1
02-Dec-15,237.1,238,233.3,235.2
03-Dec-15,233.1,233.9,228.1,229.3
04-Dec-15,227.75,231.1,226.05,227.3
07-Dec-15,228.05,228.5,222.8,224.1
08-Dec-15,222,222.25,214.05,214.5
09-Dec-15,215,218,212.9,217.45
10-Dec-15,217.9,220.9,214.8,220
11-Dec-15,219.5,220.8,214.4,215.3
14-Dec-15,212.5,214.6,211.25,213.5
15-Dec-15,215,218.6,213.3,218.3
16-Dec-15,219.7,227.6,217.35,225.8
17-Dec-15,226,226.3,220,225.35
18-Dec-15,223,224.8,221.2,224.3
21-Dec-15,223,231.05,221.7,231.05
22-Dec-15,230.45,232.5,228.3,230.45
23-Dec-15,232.9,236.4,231.25,236.1
24-Dec-15,238,239.8,233.3,234.25
28-Dec-15,234,241.3,234,239.3
29-Dec-15,240,241.85,237.45,240
30-Dec-15,240,242.8,239.4,240
31-Dec-15,239.5,243.8,235.15,239.95
