Date,Open,High,Low,LTP
10-Apr-15,233.3,237.3,232.3,234.05
13-Apr-15,235,244.45,235,242.25
15-Apr-15,242,243.8,230.3,230.9
16-Apr-15,233.05,234.85,229.2,232.2
17-Apr-15,231.7,237,231.05,234.6
20-Apr-15,236.6,236.6,225.2,230.3
21-Apr-15,229.9,233.35,226,227
22-Apr-15,227.1,231.8,222.55,231.45
23-Apr-15,233.3,234.85,230.5,234.4
24-Apr-15,234.3,235.65,231.25,234.5
27-Apr-15,235.6,235.9,225.1,226.4
28-Apr-15,226.5,238.6,224.7,231.7
29-Apr-15,232.8,234.9,229.05,232
30-Apr-15,231.5,243.2,225.6,240.65
04-May-15,240.9,247,238.25,245.3
05-May-15,245.5,249,242,244.5
06-May-15,243.5,244,228.85,230.4
07-May-15,228,233.1,224.1,228.35
08-May-15,231.75,233.85,230,231.55
11-May-15,232.2,238.4,227.9,234.05
12-May-15,234.7,234.8,221.55,223
13-May-15,224.5,228.5,222.1,227.8
14-May-15,227.7,230.9,223.75,230.05
15-May-15,230.4,233.9,227.1,230.7
18-May-15,231,235,229.4,234.3
19-May-15,234,239.95,232.4,234.7
20-May-15,235.2,237.7,229.2,230.45
21-May-15,231.15,233.45,227.6,232
22-May-15,232.9,235.65,230.5,233.75
25-May-15,233.05,237.35,229.3,234
26-May-15,231.25,246.85,230.15,246
27-May-15,240,252.8,239,250.65
28-May-15,250,254.95,246.1,250.2
29-May-15,250.5,258,247.45,253.9
01-Jun-15,251.1,256.65,250.5,253.6
02-Jun-15,255.8,257.5,248.75,251.5
03-Jun-15,253.1,255.3,240.7,247.05
04-Jun-15,246.9,249.7,242.1,248
05-Jun-15,247.05,252,245.15,246.2
08-Jun-15,246,246.35,241.25,243.5
09-Jun-15,241.2,245.7,240.1,241.75
10-Jun-15,242.9,252.5,242.5,251.1
11-Jun-15,252.15,253.4,242.6,244.15
12-Jun-15,243,249.5,241.9,248.5
15-Jun-15,248.5,251.3,246.35,247.45
16-Jun-15,248,248,242.4,246.45
17-Jun-15,246.7,246.8,240.1,241.15
18-Jun-15,241.75,245.9,241.55,242.8
19-Jun-15,244.4,244.4,238.15,241.6
22-Jun-15,243.05,249,242.5,246.5
23-Jun-15,247.05,250.95,242.7,244.05
24-Jun-15,244,257.7,243.2,253
25-Jun-15,252.5,259.95,252.5,255
26-Jun-15,254.85,255.2,248,251.1
29-Jun-15,247,248.9,242.8,246.8
30-Jun-15,246.85,250.75,246.05,246.75
01-Jul-15,247.3,259.15,247.3,258
02-Jul-15,257.5,259.6,254.05,256.25
03-Jul-15,257.5,262.4,257.5,257.9
06-Jul-15,253.9,260.7,252.65,260
07-Jul-15,260.5,262.6,256.8,258.95
08-Jul-15,256,257,248.6,256
09-Jul-15,256.4,265.8,254.75,264.4
10-Jul-15,268.05,270.3,265.2,267.75
13-Jul-15,268.65,270.65,265.25,269.1
14-Jul-15,269.4,274.7,267.8,273.2
15-Jul-15,273,276.45,271.8,273.4
16-Jul-15,273.5,282,272.2,281.35
17-Jul-15,280,287.8,279.75,285
20-Jul-15,285,285,279.3,281.9
21-Jul-15,282.4,290,279.55,284.4
22-Jul-15,282.8,286.9,280.85,285.25
23-Jul-15,287.8,288.95,282.5,284.55
24-Jul-15,284,287,279.5,280.55
27-Jul-15,279.5,282.2,271,272.3
28-Jul-15,272.6,280,272.6,278.8
29-Jul-15,279.25,285.5,278,284.25
30-Jul-15,286,288.1,282.6,286.05
31-Jul-15,287,289.65,277.25,278.4
03-Aug-15,275.9,287.45,275.2,282.55
04-Aug-15,283.65,285.5,278.2,282
05-Aug-15,282.25,287.95,279.15,280.5
06-Aug-15,282,286,279,280.9
07-Aug-15,283.9,283.95,250.25,266.7
10-Aug-15,261.7,274.8,259.65,271.8
11-Aug-15,273.7,273.9,266,267.25
12-Aug-15,264.1,266,257.15,261.15
13-Aug-15,260,264.4,252.4,259.1
14-Aug-15,260.55,264.3,257.25,261.25
17-Aug-15,262,264,256,261.95
18-Aug-15,263.9,264.4,258.75,261.75
19-Aug-15,260.35,263.75,258,261.75
20-Aug-15,260,261.5,251.7,252.6
21-Aug-15,248,250.7,243.45,249.9
24-Aug-15,240,240,225,232
25-Aug-15,235.05,236.3,214.35,235.35
26-Aug-15,231,242.8,224,240.9
27-Aug-15,241,241.9,229.1,232.3
28-Aug-15,235.95,239.65,231.55,234
31-Aug-15,232,232.8,225.45,226.05
01-Sep-15,225,227.9,215.1,218.05
02-Sep-15,219.8,220,205.25,207.3
03-Sep-15,209.45,215.5,207.6,211.7
04-Sep-15,209.9,209.9,204,206.5
07-Sep-15,206.3,208.4,199.5,201
08-Sep-15,201,213.9,197.95,213.25
09-Sep-15,215.65,218.25,211.8,211.9
10-Sep-15,207,218.5,205.3,217
11-Sep-15,216.9,217.9,209.75,210.3
14-Sep-15,212.8,214.2,210.5,212.9
15-Sep-15,212.5,214.3,210.1,212.2
16-Sep-15,213.9,213.9,207.7,210.2
18-Sep-15,213.2,214.15,206.25,207
21-Sep-15,206.9,208.65,205.65,207.3
22-Sep-15,208.5,210,200.3,201.15
23-Sep-15,199.9,203.3,197.2,199
24-Sep-15,199,200.8,193.1,199.3
28-Sep-15,199.5,200,194.1,195.8
29-Sep-15,193,200.5,192,196.85
30-Sep-15,199.2,206.75,198.1,206.15
01-Oct-15,207.5,207.5,198.5,198.8
05-Oct-15,201.5,204.9,200.25,203.85
06-Oct-15,206,206.1,197,197.7
07-Oct-15,197.95,203.25,197.4,202.5
08-Oct-15,204,206.2,200.75,203.4
09-Oct-15,206,206.5,201.2,201.6
12-Oct-15,203,208.75,201.6,205.5
13-Oct-15,207.95,209.95,206.15,208.15
14-Oct-15,209,209.45,204.3,204.8
15-Oct-15,205.95,212.3,205.5,212.1
16-Oct-15,212.9,214,209.8,213.65
19-Oct-15,213,215.95,211.2,214.25
20-Oct-15,215.6,216.45,211.4,211.9
21-Oct-15,212.6,213.7,207.65,208.5
23-Oct-15,211,211.65,208.2,209.5
26-Oct-15,211.4,219.1,209.5,217.1
27-Oct-15,217.3,219.7,213.35,214.3
28-Oct-15,212.45,216.8,211.4,212.1
29-Oct-15,212.2,213.5,202.25,203
30-Oct-15,203.5,204.4,197.8,198
02-Nov-15,198.25,202.75,196.95,199.8
03-Nov-15,202,202.2,198.5,201.15
04-Nov-15,202.5,203.2,200,201
05-Nov-15,201.25,201.5,192.6,193.2
06-Nov-15,194,196.8,184.1,192
09-Nov-15,186,190,182.75,183.05
10-Nov-15,183.35,183.95,177.4,178.4
11-Nov-15,180.15,180.65,178.55,180.25
13-Nov-15,178.95,181.1,176.65,177.4
16-Nov-15,177.1,180.8,176,178.2
17-Nov-15,179.6,181.5,177.8,178.65
18-Nov-15,178.7,180.4,174.05,174.3
19-Nov-15,176,176.4,173.8,175.8
20-Nov-15,175,178.8,174.45,176
23-Nov-15,177.5,179,174.6,174.8
24-Nov-15,175,176.8,173.25,173.6
26-Nov-15,174.8,175.8,172.8,173.35
27-Nov-15,173.85,177.65,173.85,176.1
30-Nov-15,176.8,178.3,174.65,175
01-Dec-15,176,176.95,174.6,175.5
02-Dec-15,176.4,176.4,172.65,173
03-Dec-15,171.95,171.95,168.1,168.1
04-Dec-15,166.95,170.45,166.2,168.4
07-Dec-15,169.5,170.5,167.9,168.95
08-Dec-15,168,168.5,164.15,165.05
09-Dec-15,166,171.2,166,169.05
10-Dec-15,169.5,170.55,165.65,167.6
11-Dec-15,167.9,168.4,164.25,165.8
14-Dec-15,164.7,169,164.55,166.75
15-Dec-15,167.2,168,164.25,166.1
16-Dec-15,168,170.2,167.4,168.2
17-Dec-15,170,170,165.4,169
18-Dec-15,168.2,168.4,165.4,166.3
21-Dec-15,166.5,168.5,166.15,166.9
22-Dec-15,167.9,168.75,165.45,165.75
23-Dec-15,166.95,172.8,166.8,172.4
24-Dec-15,173.95,174.5,171.6,172.6
28-Dec-15,173.65,174,171.05,171.6
29-Dec-15,172.6,172.6,166.5,168.7
30-Dec-15,170,170.9,168.3,170
31-Dec-15,169.7,170.25,167.4,169.5
