Date,Open,High,Low,LTP
13-Mar-15,348.3,350,336.7,339.6
16-Mar-15,341,341.6,335,335.4
17-Mar-15,339.5,340.65,336.25,340.5
18-Mar-15,341.25,341.25,336,336.5
19-Mar-15,338.5,340.85,331.5,332
20-Mar-15,333.7,333.7,326.4,328
23-Mar-15,326.35,329.8,325,327
24-Mar-15,327.1,329.8,326,326.5
25-Mar-15,328.65,328.65,326,326.5
26-Mar-15,326,328.95,320.6,323.5
27-Mar-15,324,325.25,315.1,317.2
30-Mar-15,319.65,329.5,319.65,326.85
31-Mar-15,328.8,328.8,324,325.5
01-Apr-15,325.85,333,324.15,331.75
06-Apr-15,329.35,341.65,329.1,339.9
07-Apr-15,341.1,343,337,342.6
08-Apr-15,342,346.95,341.5,346
09-Apr-15,346.9,348.95,344,346.85
10-Apr-15,347,347.6,342.25,346.9
13-Apr-15,347,352.4,344.85,351
15-Apr-15,354,358.6,351.4,354.25
16-Apr-15,352.85,356.4,346.65,349.45
17-Apr-15,350.5,353.25,347.7,352.2
20-Apr-15,352.1,352.1,340.6,341.45
21-Apr-15,341.85,348.7,341,341.95
22-Apr-15,340,345,338.55,342.35
23-Apr-15,343.4,346.5,338.3,342.8
24-Apr-15,343.8,343.8,343.8,343.8
24-Apr-15,342,349.95,341.15,346.9
27-Apr-15,348.9,351.8,344.2,344.55
28-Apr-15,344.9,345,333.6,335.5
29-Apr-15,335.05,336,327.3,327.4
30-Apr-15,327.8,328.4,321.2,323.2
04-May-15,323.4,330.9,320.1,330.2
05-May-15,328.6,329,323.6,326
06-May-15,326,327.85,316.2,316.7
07-May-15,318.5,323.7,315.6,322.45
08-May-15,325.55,329.3,322.65,328
11-May-15,330,330.75,324.4,326
12-May-15,327.5,328,323.1,323.75
13-May-15,326.85,329.8,321,326.5
14-May-15,327,327,322.4,324.3
15-May-15,325.1,327.9,324.85,326.35
18-May-15,327.3,333.9,326.25,332
19-May-15,331.75,335.9,330.75,332.55
20-May-15,332.5,334.2,330.5,332.05
21-May-15,333,333.4,326,327.9
22-May-15,329,333.25,325.45,328
25-May-15,321.45,324.5,316.4,316.5
26-May-15,317.5,317.5,312.75,315.3
27-May-15,315,318.75,314,318.1
28-May-15,318.1,322.45,316.5,322
29-May-15,322,329.95,318.65,328.35
01-Jun-15,325.5,333.75,325.5,331.25
02-Jun-15,328.9,329.3,317.6,318.5
03-Jun-15,313.8,313.85,300.6,303.6
04-Jun-15,305,306.65,298.2,301.45
05-Jun-15,301.45,307.9,295,305.6
08-Jun-15,307,308.25,302.25,302.95
09-Jun-15,301.9,303,299.7,300.35
10-Jun-15,300.6,303.4,298.6,301.35
11-Jun-15,302,302,295.2,295.75
12-Jun-15,296.8,300.15,295,296.7
15-Jun-15,297,302.75,294,297.9
16-Jun-15,298,300.15,295.25,299.6
17-Jun-15,298.5,303.1,297.25,301.05
18-Jun-15,301.2,304.4,300.2,302.4
19-Jun-15,302.8,305.45,302.4,305.3
22-Jun-15,306.2,312.15,304.7,310
23-Jun-15,310.4,315,307.6,314.1
24-Jun-15,315.2,318.1,311.05,312.7
25-Jun-15,310.6,315.45,309.75,313.35
26-Jun-15,312.35,312.35,307.05,308.6
29-Jun-15,305.2,310.95,303.75,309.3
30-Jun-15,310.2,316.85,308.05,315.95
01-Jul-15,315.25,316.4,312.5,314.45
02-Jul-15,314.1,317.3,313.5,314.35
03-Jul-15,314.3,316.9,312.35,315.25
06-Jul-15,312.9,318.65,312,318.5
07-Jul-15,318.65,319.3,316.1,318
08-Jul-15,315.15,316,309.4,312.35
09-Jul-15,312.8,314.9,309.85,310.45
10-Jul-15,309,311.7,306.55,310.8
13-Jul-15,313,316.4,308.95,315
14-Jul-15,313.95,316.5,310.65,312.45
15-Jul-15,311.35,315.2,311.35,314.8
16-Jul-15,314.8,319.9,312.3,318.8
17-Jul-15,318.55,323.9,317.65,323.7
20-Jul-15,321.8,323.45,319.2,320.95
21-Jul-15,320.5,322.45,312.5,313.75
22-Jul-15,312.1,317.95,310.7,314.8
23-Jul-15,315.1,317.45,312,315.15
24-Jul-15,315,315.6,312.5,314.05
27-Jul-15,311.5,313.35,309.8,311
28-Jul-15,311.95,313.9,309.55,311.5
29-Jul-15,311,312,300.6,304
30-Jul-15,304,317.85,300,317.5
31-Jul-15,317.95,327.4,315.3,325.75
03-Aug-15,326,333.5,325.1,331.6
04-Aug-15,331.45,331.55,324.55,330
05-Aug-15,329.9,333.05,326.6,330.7
06-Aug-15,330.55,331,324,325.7
07-Aug-15,324,325.6,322,325
10-Aug-15,324.5,327.25,319.35,320
11-Aug-15,320.1,321.9,316.35,320.85
12-Aug-15,320,320,316,317.2
13-Aug-15,317.4,319.7,303,317.2
14-Aug-15,317.5,320.25,314.6,319.2
17-Aug-15,319.3,319.8,315.5,316.95
18-Aug-15,316.5,318.6,312.6,315
19-Aug-15,314,318,309,317
20-Aug-15,318.1,330.35,316.35,329.4
21-Aug-15,328.95,331.3,322.75,330.15
24-Aug-15,321.05,329.5,315.6,321.1
25-Aug-15,322.05,326.15,312.5,318.55
26-Aug-15,317.6,320.85,313.6,318
27-Aug-15,323.5,327.55,316.35,326.95
28-Aug-15,329.35,329.35,324.7,325.55
31-Aug-15,324.75,328.5,321.6,325.4
01-Sep-15,322.5,323.9,314.3,314.6
02-Sep-15,318.9,323.05,315.15,320
03-Sep-15,319.35,324.7,319.1,321
04-Sep-15,320,321.5,314.75,314.9
07-Sep-15,316.3,319.5,311.15,312
08-Sep-15,313.1,315.6,310.3,313.45
09-Sep-15,315.25,316.4,312.85,313.85
10-Sep-15,311,315.8,310.35,314
11-Sep-15,314.7,316.15,312.15,313.65
14-Sep-15,313.75,315.2,311.6,313.75
15-Sep-15,313,317.9,312.5,317.05
16-Sep-15,318.65,322.85,317.2,321.9
18-Sep-15,325,328,314.75,317
21-Sep-15,316.4,317.3,313.4,314.2
22-Sep-15,315.9,318.25,310,311
23-Sep-15,307,319.05,307,316.25
24-Sep-15,314.8,323.35,314.5,321.6
28-Sep-15,323.15,325,318.4,320
29-Sep-15,318.95,325,317,319.8
30-Sep-15,322,329.85,320,329
01-Oct-15,327.05,333.85,327.05,328.5
05-Oct-15,330,331.5,326.8,331
06-Oct-15,332,343.65,328.8,343.1
07-Oct-15,343.95,350,342.3,347.65
08-Oct-15,346.75,346.75,335.4,339.85
09-Oct-15,340.9,344.8,340.2,342.55
12-Oct-15,343.05,348.4,338.85,340.45
13-Oct-15,340,345.9,339.65,343.05
14-Oct-15,344.2,345.65,342.5,345
15-Oct-15,344,352.4,343.65,349
16-Oct-15,348.05,350,343.5,348.85
19-Oct-15,348,352,345.2,351
20-Oct-15,350.5,351.25,347.8,349.1
21-Oct-15,349.1,350,347.65,348.85
23-Oct-15,350.1,358.95,350.1,358.35
26-Oct-15,358.85,359.8,355,355.5
27-Oct-15,354.7,356.95,353.25,354.9
28-Oct-15,354.35,358.95,354,354.6
29-Oct-15,355.1,356,347.1,356
30-Oct-15,351.45,351.45,330.9,334.35
02-Nov-15,333,339.7,329.95,336
03-Nov-15,336.8,338.9,332.8,334.3
04-Nov-15,336.85,338.2,334,335.25
05-Nov-15,334,339.2,333.25,336.4
06-Nov-15,335.65,339.45,335,338.45
09-Nov-15,331.5,344,330.35,342.75
10-Nov-15,340.8,345.05,335.15,335.2
11-Nov-15,338.9,339,333.1,334.2
13-Nov-15,330.4,333.8,327.1,330
